,segment,date_extract,income_statement,actual_month,forecast_month,budget_month,prev_year_month,link_id
162,CH,2022-09-01,Other operating expenses,-1.2149999999999999,-2.7154749999999996,-1.3575210000000002,-1.2060000000000013,CH_ER_2022-09-01
163,CH,2022-09-01,EBIT,0.9009999999999999,0.562467,0.45892200000000005,0.2390000000000001,CH_ER_2022-09-01
164,CH,2022-09-01,Distribution expenses,-0.9269999999999996,-0.3701889999999999,-0.9380040000000003,-1.0969999999999995,CH_ER_2022-09-01
165,CH,2022-09-01,Personnel expenses,-3.7860000000000014,-3.3090639999999993,-4.02117299999999,-3.5700000000000003,CH_ER_2022-09-01
166,CH,2022-09-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
167,CH,2022-09-01,External Revenues in LC,60.085000000000036,67.40790199999998,56.563536,53.928,CH_ER_2022-09-01
168,CH,2022-09-01,EBITDA reported,2.0970000000000013,2.2899950000000002,1.7218409999999995,1.7140000000000004,CH_ER_2022-09-01
169,CH,2022-09-01,Gross profit,8.371000000000002,7.829708000000046,8.604568000000029,7.660999999999994,CH_ER_2022-09-01
170,CH,2022-09-01,Consolidated Revenues,60.084,67.40790199999998,56.563536,53.928,CH_ER_2022-09-01
171,CH,2022-09-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
172,CH,2022-09-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
173,CH,2022-09-01,Adjustments integration,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
174,CH,2022-09-01,EAT,0.7200000000000002,0.25050900000000054,0.09167199999999998,-0.07900000000000063,CH_ER_2022-09-01
175,CH,2022-09-01,Marketing expenses,-0.41999999999999993,0.5046990000000005,-0.6688800000000006,-0.42200000000000015,CH_ER_2022-09-01
176,CH,2022-09-01,Adjustments M&A,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
177,CH,2022-09-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,CH_ER_2022-09-01
178,CH,2022-09-01,External Revenues,60.085000000000036,67.40790199999998,56.563536,53.928,CH_ER_2022-09-01
179,CH,2022-09-01,EBITDA adjusted,2.097000000000005,2.28999500000004,1.7218410000000404,1.7139999999999826,CH_ER_2022-09-01
180,Corp.,2022-01-01,Other operating expenses,-1.868,-1.868,-2.432,-0.778,Corp._ER_2022-01-01
181,Corp.,2022-01-01,EBITDA adjusted,-2.9240000000000004,-2.9240000000000004,-2.565,-1.5020000000000002,Corp._ER_2022-01-01
182,Corp.,2022-01-01,Other operating income,0.777,0.777,1.082,0.821,Corp._ER_2022-01-01
183,Corp.,2022-01-01,Consolidated Revenues,0.087,0.087,0.841,0.0,Corp._ER_2022-01-01
184,Corp.,2022-01-01,Gross profit,0.087,0.087,0.841,0.0,Corp._ER_2022-01-01
185,Corp.,2022-01-01,Distribution expenses,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
186,Corp.,2022-01-01,Adjustments M&A,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
187,Corp.,2022-01-01,Adjustments integration,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
188,Corp.,2022-01-01,External Revenues,0.087,0.087,0.841,0.0,Corp._ER_2022-01-01
189,Corp.,2022-01-01,Adjustments Other operating income,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
190,Corp.,2022-01-01,Adjustments Gross Profit,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
191,Corp.,2022-01-01,EAT,-2.231,-2.231,-2.202,-0.7118390000000001,Corp._ER_2022-01-01
192,Corp.,2022-01-01,Adjustments Personnel expenses,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
193,Corp.,2022-01-01,Marketing expenses,-0.071,-0.071,-0.089,-0.041,Corp._ER_2022-01-01
194,Corp.,2022-01-01,Personnel expenses,-1.849,-1.849,-1.967,-1.504,Corp._ER_2022-01-01
195,Corp.,2022-01-01,External Revenues in LC,0.087,0.087,0.841,0.0,Corp._ER_2022-01-01
196,Corp.,2022-01-01,Adjustments Other operating expenses,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
197,Corp.,2022-01-01,EBITDA reported,-2.924,-2.924,-2.565,-1.502,Corp._ER_2022-01-01
198,Corp.,2022-01-01,EBIT,-3.598,-3.598,-2.913,-1.791,Corp._ER_2022-01-01
199,Corp.,2022-01-01,Adjustments Various / Reserve,0.0,0.0,0.0,0.0,Corp._ER_2022-01-01
200,Corp.,2022-02-01,Distribution expenses,0.0,0.0,0.0,0.0,Corp._ER_2022-02-01
201,Corp.,2022-02-01,EBIT,-3.4080000000000004,-3.4080000000000004,-3.0320000000000005,-2.1950000000000003,Corp._ER_2022-02-01
202,Corp.,2022-02-01,Adjustments M&A,-0.186,-0.186,-0.186,-0.59,Corp._ER_2022-02-01
203,Corp.,2022-02-01,Consolidated Revenues,0.088,0.088,0.841,0.156,Corp._ER_2022-02-01
204,Corp.,2022-02-01,Other operating income,0.769,0.769,0.9429999999999998,0.7530000000000001,Corp._ER_2022-02-01
205,Corp.,2022-02-01,Other operating expenses,-1.6039999999999999,-0.10399999999999987,-1.1119999999999997,-1.241,Corp._ER_2022-02-01
206,Corp.,2022-02-01,Adjustments integration,0.0,0.0,0.0,0.0,Corp._ER_2022-02-01
207,Corp.,2022-02-01,External Revenues in LC,0.088,0.088,0.841,0.156,Corp._ER_2022-02-01
